requirement_id,title,priority,owner,authority,verification,source,implementation_status,test_ids
RET-INT-001,Consume candidate handoff,P0,RETAINER API,SYS_ADMIN,Contract + integration test,ENT-025; INV-016,NOT_STARTED,
RET-INT-002,Idempotent candidate import,P0,RETAINER API,SYS_ADMIN,Duplicate-event test,Event envelope,NOT_STARTED,
RET-INT-003,Preserve source references,P0,RETAINER API,SYS_ADMIN,Data lineage test,INV-007,NOT_STARTED,
RET-INT-004,No source mutation,P0,RETAINER API,PROHIBITED,Permission + contract test,Product boundary,NOT_STARTED,
RET-INT-005,Tenant validation,P0,Authority Gate,SYS_ADMIN,Negative security test,INV-001,NOT_STARTED,
RET-INT-006,Candidate version conflict,P0,Workflow Runtime,FIRM_POLICY,Version-conflict test,INV-008; INV-016,NOT_STARTED,
RET-INT-007,Incomplete candidate routing,P0,Workflow Runtime,FIRM_POLICY,State + authority test,INV-011,NOT_STARTED,
RET-INT-008,Candidate withdrawal,P0,Communication Service,CLIENT_AUTH / FIRM_POLICY,E2E withdrawal test,Consent / communications,NOT_STARTED,
RET-REP-001,Attorney-attributable decision,P0,Representation Domain,ATTY_AUTH,Authority + audit test,ENT-031; AUTH-005,NOT_STARTED,
RET-REP-002,No automated acceptance,P0,Authority Gate,PROHIBITED,Prohibited transition test,INV-002; INV-011; INV-020,NOT_STARTED,
RET-REP-003,Staff preparation only,P0,Representation Domain,STAFF_AUTH,Role matrix test,Compliance B06,NOT_STARTED,
RET-REP-004,Decision scope required,P0,Representation Domain,ATTY_AUTH,Validation test,ENT-016; ENT-031,NOT_STARTED,
RET-REP-005,Responsible attorney assignment,P0,Tenant Core,ATTY_AUTH,Invariant test,INV-004,NOT_STARTED,
RET-REP-006,Decline workflow,P0,Representation Domain,ATTY_AUTH / FIRM_POLICY,E2E decline test,representation.declined_by_attorney,NOT_STARTED,
RET-REP-007,Deferral workflow,P1,Workflow Runtime,ATTY_AUTH,Timer/escalation test,Work Item model,NOT_STARTED,
RET-REP-008,Decision supersession,P0,Representation Domain,ATTY_AUTH,Append-only test,Audit + versioning,NOT_STARTED,
